GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaddem,tn.esprit.spring.kaddem,KaddemApplication,8,0,0,0,3,0,2,0,2,0
kaddem,tn.esprit.spring.kaddem.controllers,DepartementRestController,30,0,0,0,7,0,6,0,6,0
kaddem,tn.esprit.spring.kaddem.controllers,EquipeRestController,31,0,0,0,9,0,7,0,7,0
kaddem,tn.esprit.spring.kaddem.controllers,UniversiteRestController,41,0,0,0,10,0,8,0,8,0
kaddem,tn.esprit.spring.kaddem.controllers,ContratRestController,53,0,0,0,12,0,10,0,10,0
kaddem,tn.esprit.spring.kaddem.controllers,EtudiantRestController,48,0,0,0,11,0,9,0,9,0
kaddem,tn.esprit.spring.kaddem.entities,Universite,181,15,30,0,13,6,26,3,11,3
kaddem,tn.esprit.spring.kaddem.entities,Niveau,0,34,0,0,0,2,0,1,0,1
kaddem,tn.esprit.spring.kaddem.entities,Contrat,133,24,0,0,30,9,16,3,16,3
kaddem,tn.esprit.spring.kaddem.entities,DetailEquipe,248,0,38,0,24,0,35,0,16,0
kaddem,tn.esprit.spring.kaddem.entities,Option,44,0,0,0,2,0,1,0,1,0
kaddem,tn.esprit.spring.kaddem.entities,Equipe,288,27,45,1,26,10,37,6,14,6
kaddem,tn.esprit.spring.kaddem.entities,Departement,165,19,30,0,10,8,24,4,9,4
kaddem,tn.esprit.spring.kaddem.entities,Etudiant,281,120,55,7,27,12,45,9,14,9
kaddem,tn.esprit.spring.kaddem.entities,Specialite,0,44,0,0,0,2,0,1,0,1
kaddem,tn.esprit.spring.kaddem.services,EquipeServiceImpl,139,36,22,0,31,6,14,6,3,6
kaddem,tn.esprit.spring.kaddem.services,ContratServiceImpl,244,23,26,0,51,4,20,4,7,4
kaddem,tn.esprit.spring.kaddem.services,UniversiteServiceImpl,89,20,4,0,13,3,9,3,7,3
kaddem,tn.esprit.spring.kaddem.services,EtudiantServiceImpl,95,35,8,0,19,5,10,5,6,5
kaddem,tn.esprit.spring.kaddem.services,DepartementServiceImpl,12,45,0,0,0,9,1,7,1,7
